,itr,SVM_M,RF_M,FCN_M,Fusion_M,cnn_M,rocket_M,tde_M,catch22_M,SVM_R,RF_R,FCN_R,Fusion_R,cnn_R,rocket_R,tde_R,catch22_R
0,0.0,0.914,0.788,0.858,0.927,0.816,0.89,0.489,0.68,0.8368368368368369,0.6146146146146146,0.7417417417417418,0.8598598598598599,0.6766766766766766,0.7907907907907908,0.22522522522522523,0.47847847847847846
1,1.0,0.911,0.859,0.885,0.942,0.814,0.895,0.468,0.671,0.8328328328328328,0.7357357357357357,0.7817817817817818,0.8888888888888888,0.6696696696696697,0.8028028028028028,0.22122122122122123,0.47147147147147145
2,2.0,0.915,0.803,0.871,0.941,0.869,0.919,0.502,0.674,0.8378378378378378,0.6496496496496497,0.7747747747747747,0.8828828828828829,0.7547547547547547,0.8408408408408409,0.24024024024024024,0.4854854854854855
3,3.0,0.883,0.801,0.749,0.898,0.775,0.876,0.535,0.707,0.7817817817817818,0.6456456456456456,0.5805805805805806,0.8068068068068068,0.5995995995995996,0.7687687687687688,0.2882882882882883,0.5205205205205206
4,4.0,0.936,0.83,0.827,0.949,0.788,0.908,0.507,0.697,0.8768768768768769,0.7007007007007007,0.6986986986986987,0.8988988988988988,0.6246246246246246,0.8228228228228228,0.2802802802802803,0.5015015015015015
5,5.0,0.923,0.796,0.856,0.936,0.761,0.915,0.486,0.714,0.8508508508508509,0.6296296296296297,0.7397397397397397,0.8758758758758759,0.5725725725725725,0.8398398398398398,0.23923923923923923,0.5325325325325325
